Date : 2024-09-26 21:07:39
Directory : c:\Users\Administrator\Desktop\finance
Total : 106 files,  13973 codes, 6 comments, 697 blanks, all 14676 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |      8,887 |          0 |          3 |      8,890 |
| TypeScript JSX     |         57 |      3,662 |          1 |        437 |      4,100 |
| TypeScript         |         36 |      1,267 |          2 |        230 |      1,499 |
| CSS                |          1 |         86 |          0 |          7 |         93 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| SQL                |          1 |         11 |          1 |          1 |         13 |
| JavaScript         |          2 |          8 |          2 |          4 |         14 |
| CSV                |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        106 |     13,973 |          6 |        697 |     14,676 |
| . (Files)                                                                                          |         11 |      8,943 |          4 |         32 |      8,979 |
| app                                                                                                |         21 |      1,438 |          1 |        181 |      1,620 |
| app (Files)                                                                                        |          2 |        117 |          1 |         12 |        130 |
| app\(auth)                                                                                         |          2 |         54 |          0 |          6 |         60 |
| app\(auth)\sign-in                                                                                 |          1 |         27 |          0 |          3 |         30 |
| app\(auth)\sign-in\[[...sign-in]]                                                                  |          1 |         27 |          0 |          3 |         30 |
| app\(auth)\sign-up                                                                                 |          1 |         27 |          0 |          3 |         30 |
| app\(auth)\sign-up\[[...sign-up]]                                                                  |          1 |         27 |          0 |          3 |         30 |
| app\(dashboard)                                                                                    |         13 |        723 |          0 |         76 |        799 |
| app\(dashboard) (Files)                                                                            |          2 |         24 |          0 |          5 |         29 |
| app\(dashboard)\accounts                                                                           |          3 |        169 |          0 |         18 |        187 |
| app\(dashboard)\categories                                                                         |          3 |        169 |          0 |         18 |        187 |
| app\(dashboard)\transactions                                                                       |          5 |        361 |          0 |         35 |        396 |
| app\api                                                                                            |          4 |        544 |          0 |         87 |        631 |
| app\api\[[...route]]                                                                               |          4 |        544 |          0 |         87 |        631 |
| components                                                                                         |         29 |      1,958 |          0 |        248 |      2,206 |
